date,close,volume,open,high,low
11/12/15,204.84,120950900,206.5,207.06,204.82
11/13/15,202.54,152793300,204.35,204.67,202.435
11/16/15,205.62,117342200,202.32,205.69,202.18
11/17/15,205.47,120836000,205.99,207.04,204.88
11/18/15,208.73,121128300,206.04,208.9,205.99
11/19/15,208.55,87841400,208.59,209.05,208.2
11/20/15,209.3108,93821880,209.45,210.12,208.86
11/23/15,209.07,64789800,209.38,209.98,208.52
11/24/15,209.35,98705990,207.87,209.83,207.41
11/25/15,209.32,51822520,209.5,209.74,209.01
11/27/15,209.56,37317780,209.43,209.8,208.86
11/30/15,208.69,111785700,209.75,209.89,208.56
12/1/15,210.68,97501880,209.44,210.82,209.11
12/2/15,208.529,108139300,210.615,211,208.23
12/3/15,205.61,165756900,208.83,209.15,204.7511
12/4/15,209.62,192874200,206.08,209.97,205.93
12/7/15,208.35,101674200,209.23,209.7295,207.2
12/8/15,206.949,103090300,206.49,208.289,205.78
12/9/15,205.34,161939100,206.19,208.68,204.18
12/10/15,205.87,115879700,205.42,207.43,205.14
12/11/15,201.88,210983700,203.35,204.14,201.51
12/14/15,202.9008,181638100,202.07,203.05,199.95
12/15/15,205.0308,153713000,204.7,206.11,202.8666
12/16/15,208.03,196380400,206.365,208.39,204.8
12/17/15,204.86,172358700,208.4,208.48,204.84
12/18/15,200.0208,250946400,202.77,202.93,199.83
12/21/15,201.67,98751110,201.41,201.88,200.09
12/22/15,203.5,110436800,202.715,203.85,201.55
12/23/15,206.02,110819800,204.69,206.07,204.58
12/24/15,205.68,48542150,205.72,206.33,205.42
12/28/15,205.21,65727270,204.86,205.26,203.94
12/29/15,207.4,92411310,206.51,207.79,206.47
12/30/15,205.93,63232390,207.11,207.21,205.76
12/31/15,203.87,114819400,205.13,205.89,203.87
1/4/16,201.0192,221450500,200.49,201.03,198.59
1/5/16,201.36,110381200,201.4,201.9,200.05
1/6/16,198.82,151636700,198.34,200.06,197.6
1/7/16,194.05,212565100,195.33,197.44,193.59
1/8/16,191.923,209524400,195.19,195.85,191.58
1/11/16,192.11,187405200,193.01,193.41,189.82
1/12/16,193.6608,170946400,193.82,194.55,191.14
1/13/16,188.83,220641200,194.45,194.86,188.38
1/14/16,191.93,239613400,189.55,193.26,187.66
1/15/16,187.81,323965200,186.77,188.76,185.52
1/19/16,188.06,193451100,189.96,190.11,186.2
1/20/16,185.65,285427700,185.03,187.495,181.02
1/21/16,186.69,195002600,186.21,188.87,184.64
1/22/16,190.52,168109300,189.78,190.76,188.88
1/25/16,187.64,129310300,189.92,190.15,187.41
1/26/16,190.2,139932200,188.42,190.53,188.02
1/27/16,188.13,184964900,189.58,191.56,187.06
1/28/16,189.11,143300400,189.96,190.2,187.16
1/29/16,193.7208,210246000,190.02,193.88,189.88
2/1/16,193.65,135772400,192.53,194.58,191.84
2/2/16,190.16,182289400,191.96,191.97,189.54
2/3/16,191.3,204711700,191.41,191.78,187.1
2/4/16,191.6,139293100,190.71,192.75,189.96
2/5/16,187.95,180617400,190.99,191.6696,187.2
2/8/16,185.42,190784300,185.77,186.12,182.8
2/9/16,185.43,183477200,183.36,186.94,183.2
2/10/16,185.27,147537200,186.41,188.34,185.12
2/11/16,182.86,218528800,182.34,184.1,181.09
2/12/16,186.63,127537400,184.96,186.65,183.96
2/16/16,189.78,119814000,188.77,189.81,187.63
2/17/16,192.88,135300500,191.16,193.32,191.01
2/18/16,192.09,102131000,193.2,193.27,191.72
2/19/16,192,114694400,191.17,192.18,190.45
2/22/16,194.78,103194800,193.87,194.95,193.79
2/23/16,192.32,111231000,194,194.32,192.18
2/24/16,193.2,150565000,190.63,193.53,189.32
2/25/16,195.54,110203000,193.73,195.55,192.83
2/26/16,195.0892,129366900,196.57,196.68,194.9
2/29/16,193.56,125170000,195.11,196.23,193.33
3/1/16,198.11,141407600,195.01,198.21,194.4542
3/2/16,199,102132500,197.74,199.06,197.25
3/3/16,199.775,94976900,198.79,199.795,198.11
3/4/16,200.43,128969300,200.01,201.35,199.03
3/7/16,200.59,99829000,199.34,201.07,199.25
3/8/16,198.4,123663900,199.32,199.92,198.21
3/9/16,199.38,94522340,199.36,199.79,198.43
3/10/16,199.54,156599200,199.96,201.07,197.38
3/11/16,202.76,137871100,201.26,202.81,199.5179
3/14/16,202.5,73478740,202.16,203.04,201.77
3/15/16,202.17,92992420,201.36,202.5307,201.05
3/16/16,203.34,128519100,201.6,203.82,201.55
3/17/16,204.63,133787600,203.24,205.23,202.77
3/18/16,204.38,135476400,204.17,204.78,203.8
3/21/16,204.67,72727510,204.07,204.94,203.8
3/22/16,204.56,96745330,203.76,205.23,203.57
3/23/16,203.2092,80899020,204.11,204.33,203.01
3/24/16,203.12,84028660,202,203.16,201.74
